id,country,film,box_office
48,China,Dancing in the Rain (Ples v dezju),"€9564484,99"
49,Sweden,Shaolin (Xin shao lin si),"€6880423,01"
50,Poland,Iceman,"€7626427,44"
51,Russia,Appleseed (Appurushîdo),"€1605723,44"
52,Mexico,"A-Team, The","€4367317,94"
53,Madagascar,Europa (Zentropa),"€1180519,47"
54,China,Nevada Smith,"€4200887,32"
55,Bosnia and Herzegovina,"She No Longer Talks, She Shoots","€2271689,07"
56,China,"Breakfast Club, The","€2492559,61"
57,Indonesia,"Adventures of Prince Achmed, The (Abenteuer des Prinzen Achmed, Die)","€5159724,51"
58,Senegal,"Dark Lurking, The","€5562062,04"
59,Indonesia,Ratatouille,"€3917522,52"
60,Philippines,Take the High Ground!,"€3085064,60"
61,Russia,Big Man Japan (Dai-Nihonjin),"€7285241,88"
62,Honduras,"Dunwich Horror, The","€3531174,91"
63,Mexico,Dreamchild,"€7210149,82"
64,Mexico,Pride and Prejudice,"€2423683,30"
65,Macedonia,Save Me,"€2229447,92"
66,Chile,Super Sucker,"€6785603,24"
67,Honduras,Pokemon: The Movie 2000,"€7420301,79"
68,Malaysia,"Wash, The","€1636855,70"
69,China,"Hitch Hikers Guide to the Galaxy, The","€7286202,86"
70,China,Gold Diggers: The Secret of Bear Mountain,"€3757238,85"
71,Brazil,Dangerous Liaisons,"€1314440,72"
72,Indonesia,Mark of the Vampire,"€6112865,90"
73,China,"Color of Money, The","€6045266,69"
74,Brazil,Pal Joey,"€8226453,71"
75,Croatia,21,"€4197016,32"
76,Latvia,Be Cool,"€7484942,46"
77,Russia,Mountains of the Moon,"€8921702,69"
78,South Africa,Hercules in the Underworld,"€1655761,07"
79,Chad,Teenage,"€8519185,50"
80,Portugal,The Harmony Game,"€2232304,78"
81,Russia,Rio Sex Comedy,"€7837268,91"
82,China,Good Time Max,"€7151232,23"
83,Argentina,The Adventures of Hercules,"€6963599,06"
84,China,Saving Face,"€4443046,12"
85,China,High Life,"€6972178,43"
86,China,Snowballs,"€9191193,05"
87,Ukraine,"Snowtown (Snowtown Murders, The)","€3900354,83"
88,China,Babes on Broadway,"€6530437,04"
89,Philippines,Fiddle-de-dee,"€1130610,05"
90,Indonesia,Ju-on: The Grudge 2,"€5739100,13"
91,China,Transit,"€1832967,40"
92,Honduras,"Whole Town's Talking, The (Passport to Fame)","€1851035,41"
93,United States,Back to 1942 ,"€4865036,82"
94,Thailand,"Russia House, The","€6259043,72"
95,Russia,Land of Milk and Honey (Pays de cocagne),"€3145059,43"
96,Russia,Cinema Komunisto,"€1505058,97"
97,China,Instrument,"€3304679,71"
98,Albania,Dirty Dancing: Havana Nights,"€8526815,49"
99,China,Blind Chance (Przypadek),"€9509881,30"
100,Brazil,So I Married an Axe Murderer,"€6805660,47"
101,China,Bedtime Stories,"€2778495,40"
102,France,Heart of America,"€5112237,57"
103,China,"Alien Predator (Mutant II) (Falling, The)","€9442744,36"
104,Japan,Burma VJ: Reporting from a Closed Country (Burma VJ: Reporter i et lukket land),"€3873327,35"
105,Finland,Ticking Clock,"€1714841,59"
106,Philippines,"Innocent Man, An","€2975163,39"
107,Cyprus,Surveillance,"€4087475,90"
108,China,"Evening Star, The","€1914893,83"
109,Honduras,Gun Crazy (a.k.a. Deadly Is the Female),"€7902061,63"
110,Philippines,Not Easily Broken,"€8122261,51"
111,China,"War Within, The","€9205730,15"
112,Colombia,Brother 2 (Brat 2),"€6629117,51"
113,China,"Idolmaker, The","€8523712,14"
114,Philippines,Road to Nowhere,"€2160327,42"
115,Uzbekistan,Maniac Cop 2,"€2639515,98"
116,Thailand,Jingle All the Way 2,"€9737199,81"
117,Germany,Carless Love,"€8579355,87"
118,France,Girl in Progress,"€3951379,82"
119,Japan,Telling You,"€5773814,69"
120,Slovenia,Marwencol,"€1510612,03"
121,Poland,Safe Sex,"€1693750,09"
122,Malaysia,Masked & Anonymous,"€3626235,23"
123,Benin,"Man Apart, A","€3385433,23"
124,Philippines,Mortal Thoughts,"€4781105,24"
125,Estonia,Jane Eyre,"€9992608,35"
126,Brazil,Funny Games,"€2401915,72"
127,Colombia,"Glass Slipper, The","€2800078,37"
128,Indonesia,Freaky Friday,"€2628424,83"
129,Indonesia,Magnolia,"€2799688,41"
130,Czech Republic,Stretch,"€8643981,63"
131,Russia,Love Comes Softly,"€7432355,99"
132,Pakistan,Fuck,"€1159083,07"
133,Philippines,Practical Magic,"€1180206,25"
134,Indonesia,Girl with a Pearl Earring,"€5164987,01"
135,Brazil,Agnosia,"€4874449,82"
136,Kazakhstan,Diminished Capacity,"€1394593,12"
137,Portugal,Bucktown,"€8635675,95"
138,Nigeria,Perrier's Bounty,"€2533327,63"
139,China,Deliverance,"€2721184,66"
140,France,Harsh Times,"€5226082,72"
141,Indonesia,Maverick,"€4348219,42"
142,Poland,Running On Karma (Daai Zek Lou),"€2338797,39"
143,China,Our Music (Notre musique),"€2524918,20"
144,Comoros,State of Play,"€9140432,65"
145,Bosnia and Herzegovina,Lower City (Cidade Baixa),"€4769033,02"
146,China,"Out of Towners, The","€8972718,30"
147,Madagascar,Faster,"€4214351,82"
148,Egypt,Buttcrack,"€9369958,13"
149,Sweden,G Men,"€6533027,39"
150,Greece,Tokyo Chorus (Tôkyô no kôrasu),"€4891531,85"
151,Brazil,Southbounders,"€6839360,43"
152,Senegal,I See a Dark Stranger,"€2940554,49"
153,Philippines,Combien Tu M'aimes? (How Much Do You Love Me?),"€4959256,70"
154,Tanzania,Darkon,"€9364652,41"
155,Russia,"Laughing Policeman, The","€1241583,91"
156,Brazil,Frank and Ollie,"€5369117,01"
157,Argentina,Facing the Giants,"€7609293,29"
158,China,Water for Elephants,"€9275494,00"
159,Indonesia,Good,"€6641359,84"
160,China,Paul,"€1256859,90"
161,Albania,Apache Country,"€2022081,86"
162,China,56 Up,"€6700860,44"
163,China,"Ruins, The","€7090729,67"
164,China,Black Orpheus (Orfeu Negro),"€8930673,71"
165,France,"Oslo, August 31st (Oslo, 31. august)","€3013153,72"
166,Latvia,Hotel Hell Vacation,"€1997290,93"
167,Portugal,Play it to the Bone,"€9073559,58"
168,Portugal,Holes in My Shoes,"€2938283,28"
169,China,Yumurta (Egg),"€8844591,50"
170,Russia,Bedknobs and Broomsticks,"€7306111,72"
171,Indonesia,Lucky,"€3993006,55"
172,Albania,Fanny,"€1579108,48"
173,United States,"Midsummer Night's Sex Comedy, A","€4704188,24"
174,Philippines,Pilgrimage,"€4512953,64"
175,Canada,"Brief Vacation, A (breve vacanza, Una)","€3785363,85"
176,Philippines,Midnight Crossing,"€8755041,86"
177,Cuba,Jesse Stone: Thin Ice,"€2760290,00"
178,France,"Three Caballeros, The","€8105493,34"
179,Indonesia,Norwegian Wood (Noruwei no mori),"€9856985,51"
180,China,P.U.N.K.S,"€2262844,10"
181,Peru,The Baker's Wife,"€2671665,26"
182,Sweden,Killing Bono,"€4863206,01"
183,Brazil,"George Lopez: Tall, Dark & Chicano","€6691485,97"
184,Japan,Corto Maltese: Under the Sign of Capricorn (Sous le signe du capricorne),"€6877981,05"
185,China,I Was an Adventuress,"€5895418,44"
186,Indonesia,Dr. Who and the Daleks,"€7117442,21"
187,Brazil,White Fang,"€5505509,50"
188,Canada,Each Dawn I Die,"€1233239,30"
189,China,Spirit Trap,"€5028905,71"
190,Greece,"Sense of History, A","€7847114,33"
191,Russia,Old Yeller,"€5243554,14"
192,Ukraine,Pekka ja Pätkä salapoliiseina,"€1278454,59"
193,Brazil,Seconds Apart ,"€7169572,89"
194,Ukraine,Foxes,"€1987033,74"
195,Philippines,Time of Roses (Ruusujen aika),"€9565749,86"
196,Estonia,Second Best,"€9366995,79"
197,China,Airspeed,"€8688302,16"
198,Kyrgyzstan,Operator 13,"€3382369,43"
199,Canada,Sweet Home Alabama,"€2656994,27"
200,China,Cypher,"€4525701,42"
201,Colombia,Hotel Terminus: The Life and Times of Klaus Barbie (Hôtel Terminus),"€6505570,50"
202,Serbia,Sweetgrass,"€8482677,79"
203,Nigeria,"Pink Panther, The","€3303845,55"
204,Finland,"House by the Cemetery, The (Quella villa accanto al cimitero)","€2943040,79"
205,Indonesia,Thirst,"€3669181,28"
206,Indonesia,Camille,"€4645010,86"
207,Poland,Deadly Prey,"€6072514,12"
208,China,What Doesn't Kill You,"€3061308,55"
209,Russia,The Cat's Out,"€2577819,22"
210,China,Strapped,"€6284700,89"
211,Czech Republic,In Tranzit,"€9086680,97"
212,Indonesia,Return of the Secaucus 7,"€3883635,20"
213,Croatia,Dark Girls,"€7088178,70"
214,Albania,Alfie,"€3750249,66"
215,Western Sahara,Butch Cassidy and the Sundance Kid,"€3754570,73"
216,China,"3 Rooms of Melancholia, The (Melancholian 3 huonetta)","€7504463,38"
217,Thailand,History of the Eagles,"€5358488,39"
218,Japan,Louise-Michel,"€7555985,39"
219,Zimbabwe,Bo Burnham: what.,"€6572607,23"
220,Spain,Iron Eagle,"€8290894,05"
221,China,Baggage Claim,"€6098612,17"
222,Indonesia,Vodka Lemon,"€4132250,77"
223,Philippines,Tom Sawyer,"€9615025,62"
224,Luxembourg,Untraceable,"€8101777,08"
225,Nigeria,Akeelah and the Bee,"€6840110,94"
226,Bolivia,"Peacemaker, The","€5240897,04"
227,Indonesia,"Beast Must Die, The","€3285797,06"
228,United States,Closet Land,"€3881098,93"
229,Philippines,"Christmas Carol, A (Scrooge)","€2140460,38"
230,Argentina,Just Between Friends,"€8572200,64"
231,Poland,House Party,"€1291042,64"
232,Brazil,Côte d'Azur (Crustacés et coquillages),"€5807338,70"
233,Argentina,Bad Dreams,"€7732549,23"
234,Japan,London Boulevard,"€6007806,65"
235,Haiti,Putney Swope,"€5125672,14"
236,Portugal,"Substance of Fire, The","€5371135,09"
237,Tunisia,Ploy,"€6973367,72"
238,China,Wing and a Prayer,"€4356097,42"
239,Argentina,Oleanna,"€5530888,33"
240,France,Vice Squad,"€1285190,18"
241,Mexico,Square Dance,"€1693373,04"
242,Finland,"Gatekeepers, The","€4508767,96"
243,Portugal,"Delta Force, The","€3268108,08"
244,China,Armageddon 2012,"€4768867,41"
245,Peru,Very Good Girls,"€8805986,09"
246,United States,"Mother, Jugs & Speed","€5438997,47"
247,Portugal,I Married a Monster from Outer Space,"€8711791,41"
248,Philippines,The Old Maid,"€4650348,54"
249,Vietnam,Soundbreaker ,"€4390064,39"
250,Brazil,"Code, The (Mentale, La)","€7373322,01"
251,China,Deep Cover,"€1021034,26"
252,France,Pontiac Moon,"€3983587,98"
253,China,"Bad Girls (Biches, Les)","€1752208,74"
254,Russia,Antarctica,"€9456462,71"
255,China,Dracula: Prince of Darkness,"€7708916,94"
256,Philippines,"Last Starfighter, The","€4269455,65"
257,Iran,"Blue Light, The (Blaue Licht, Das)","€6863123,47"
258,Libya,Emmet Otter's Jug-Band Christmas,"€8410488,69"
259,Russia,"Ay, Carmela! (¡Ay, Carmela!)","€3677591,03"
260,Indonesia,"Point, The","€5436954,27"
261,China,Renegades,"€6115330,00"
262,France,Patton Oswalt: My Weakness Is Strong,"€5555561,31"
263,Sweden,Mr. Holland's Opus,"€9232893,74"
264,Philippines,Satan's Tango (Sátántangó),"€4117960,01"
265,China,"Breath, The (Nefes: Vatan sagolsun)","€1196684,74"
266,China,Tap,"€6801284,93"
267,Poland,"Man Next Door, The (El hombre de al lado)","€7291078,13"
268,China,"Quarry, The","€3103938,25"
269,Kuwait,Hedgehog in the Fog,"€6305711,56"
270,Syria,Blood Shot,"€6653065,35"
271,France,Click,"€4530835,44"
272,Philippines,Crows Zero (Kurôzu zero),"€4007757,89"
273,China,Fires on the Plain (Nobi),"€6330220,80"
274,Russia,Holidays by the Sea (Ni à vendre ni à louer),"€2453303,14"
275,Ireland,Mister Magoo's Christmas Carol,"€4516974,66"
276,China,Bettie Page Reveals All,"€2361547,54"
277,Brazil,"Mississippi Mermaid (Sirène du Mississipi, La)","€2742727,57"
278,Colombia,Stupid Boy (Garçon stupide),"€6228963,44"
279,China,"Niagara, Niagara","€8039652,17"
280,Russia,"House That Dripped Blood, The","€5798456,17"
281,Brazil,"Swell Season, The","€9828087,71"
282,Uruguay,"Confession, The","€4631178,10"
283,France,Millennium,"€6830498,10"
284,Brazil,"Frozen, The","€4265011,56"
285,Japan,Slipstream,"€9219715,92"
286,Dominican Republic,Gone in 60 Seconds,"€1694099,50"
287,Indonesia,"Trip, The","€8964396,28"
288,China,Crossroads,"€5053006,92"
289,Japan,Tap,"€7259181,79"
290,Brazil,Jesus Christ Superstar,"€3530635,46"
291,China,Life During Wartime,"€9816219,95"
292,France,"Hideous Sun Demon, The","€2370467,51"
293,Netherlands,House III: The Horror Show,"€2866183,89"
294,Thailand,Hackers,"€6660088,01"
295,China,The Horribly Slow Murderer with the Extremely Inefficient Weapon,"€3199772,52"
296,Indonesia,Creepshow 3,"€4363466,09"
297,China,Going Berserk,"€1752482,24"
298,United States,Mr. Jones,"€6602910,53"
299,Portugal,We Cause Scenes,"€9714159,32"
300,Malaysia,The Case of the Curious Bride,"€9268624,36"
301,Sweden,"Man Called Horse, A","€8820236,48"
302,Nigeria,Carman: The Champion,"€2088331,17"
303,Sweden,Patriot Games,"€2785167,41"
304,South Africa,Affluenza,"€4581436,94"
305,Kosovo,"Happy Event, A (Un Heureux Evénement)","€3528244,78"
306,Ivory Coast,Bogowie,"€8636717,28"
307,Spain,"War Game, The","€1012482,11"
308,Nigeria,Dr Money and the Boy with No Penis,"€9523023,85"
309,France,Swedish Auto,"€1765806,92"
310,Slovenia,"Dawn Patrol, The (Flight Commander)","€3196046,12"
311,Poland,Pressure Point ,"€2185941,91"
312,South Sudan,"Trip to Bountiful, The","€8275692,99"
313,Portugal,"Answer Man, The (a.k.a. Arlen Faber)","€8385748,39"
314,Indonesia,"Beans of Egypt, Maine, The","€7305257,51"
315,Indonesia,Wicked,"€4062102,61"
316,China,Calendar Girls,"€8003304,29"
317,Philippines,"Hunchback of Notre Dame, The (Notre Dame de Paris)","€4145063,83"
318,Uruguay,Phone Booth,"€9542163,29"
319,China,Antibodies (Antikörper),"€2717250,75"
320,Dominican Republic,Babe,"€9382363,81"
321,China,"Girl in the Café, The","€8374719,91"
322,Sweden,Up the Sandbox,"€7586073,90"
323,South Korea,Strange Invaders,"€6399193,88"
324,China,Fulltime Killer (Chuen jik sat sau),"€1062907,51"
325,Serbia,11:14,"€6049085,31"
326,Libya,Asterix & Obelix: Mission Cleopatra (Astérix & Obélix: Mission Cléopâtre),"€8346138,21"
327,Finland,M,"€1358909,29"
328,Dominican Republic,American Wedding (American Pie 3),"€2453460,28"
329,Honduras,Trash Humpers,"€3948911,56"
330,Brazil,Nightwing,"€4608587,29"
331,Philippines,"Little Indian, Big City (Un indien dans la ville)","€7209386,99"
332,Indonesia,Hunt vs Lauda: F1's Greatest Racing Rivals,"€9385594,75"
333,China,"You're a Good Man, Charlie Brown","€2264575,41"
334,Russia,Awesome; I Fuckin Shot That!,"€4944751,59"
335,Philippines,Of Gods and Men (Des hommes et des dieux),"€8871821,94"
336,Ukraine,Paper Lion,"€5281201,45"
337,Indonesia,Wing and a Prayer,"€8884568,08"
338,Russia,"Juche Idea, The","€6005298,55"
339,Indonesia,"Lovers on the Bridge, The (Amants du Pont-Neuf, Les)","€6204529,80"
340,Colombia,As Cool As I Am,"€5523722,60"
341,Latvia,"Deep, The (Djúpið)","€6701756,81"
342,China,Broken,"€9336036,58"
343,Indonesia,"Short Film About John Bolton, A","€7046491,73"
344,Greece,Sweet Smell of Success,"€7412201,73"
345,Kosovo,Onibaba,"€7190928,56"
346,Sweden,Retroactive,"€6103005,57"
347,France,Alice Doesn't Live Here Anymore,"€3400882,29"
348,United States,"Misadventures of Margaret, The","€4332207,82"
349,Palestinian Territory,Fetching Cody,"€6117002,74"
350,Portugal,Numbskull Emptybrook in the Army (Uuno Turhapuro armeijan leivissä),"€4400556,00"
351,Armenia,Like You Know It All (Jal aljido mothamyeonseo),"€6703748,45"
352,Venezuela,Roman Holiday,"€3698438,04"
353,China,Docking the Boat (Att angöra en brygga),"€4093334,53"
354,China,Mississippi Masala,"€7898242,41"
355,Mexico,"Veronika Voss (Sehnsucht der Veronika Voss, Die)","€5919319,20"
356,Indonesia,Report to the Commissioner,"€5815962,84"
357,China,"Big Bang Theory, The (2007-)","€4936928,03"
358,Poland,Genius Within: The Inner Life of Glenn Gould,"€4455287,18"
359,Central African Republic,Garfield's Fun Fest,"€9705138,16"
360,Indonesia,A Night at the Movies: The Horrors of Stephen King,"€2230571,46"
361,Russia,Follow That Dream,"€9085060,40"
362,Japan,"Deep, The (Djúpið)","€9275940,48"
363,Indonesia,"Vertical Ray of the Sun, The (Mua he chieu thang dung)","€4605187,01"
364,United States,"Gore Gore Girls, The","€7025305,70"
365,Portugal,Jönssonligan på Mallorca,"€2154580,89"
366,Russia,Attack from Space,"€7980258,95"
367,Sweden,Columbus Circle,"€8716150,36"
368,Democratic Republic of the Congo,Puppet Master III: Toulon's Revenge,"€1446103,66"
369,Palestinian Territory,"Princess Diaries 2: Royal Engagement, The","€8262076,32"
370,Indonesia,Kung Fu Dunk,"€9523303,30"
371,Indonesia,Fitna,"€8510719,72"
372,Jordan,Barry Lyndon,"€3740147,70"
373,Netherlands,Tale of Cinema (Geuk jang jeon),"€2977632,31"
374,China,Illtown,"€6110902,12"
375,Indonesia,Celsius 41.11: The Temperature at Which the Brain... Begins to Die,"€5264145,29"
376,Poland,Spring is Here,"€7625973,46"
377,Russia,Deconstructing Harry,"€5548463,13"
378,Ukraine,Powers of Ten,"€2941080,12"
379,Russia,"Sheriff and the Satellite Kid, The","€1212369,90"
380,Thailand,Moving Midway,"€4405119,42"
381,China,The Inhabited Island 2: Rebellion,"€6173808,77"
382,France,Seeking a Friend for the End of the World,"€2180003,63"
383,Estonia,Sweet Mud (Adama Meshuga'at),"€4133420,52"
384,China,Safe House,"€6010195,59"
385,Brazil,Sleepless Night (Nuit blanche),"€9114769,27"
386,Paraguay,Cry of the Banshee,"€9711218,00"
387,Croatia,"Hammer, The","€5718811,01"
388,Russia,Sagebrush Trail,"€8418618,41"
389,Colombia,Thérèse: The Story of Saint Thérèse of Lisieux,"€2850212,31"
390,Indonesia,"Dangerous Profession, A","€1783228,90"
391,Portugal,Knick Knack,"€8281803,30"
392,China,Broken Arrow,"€8749437,09"
393,Sweden,Iron Maiden: Flight 666,"€6670381,32"
394,China,Murphy's Law,"€8025774,00"
395,Thailand,John Doe: Vigilante,"€7681730,85"
396,Sweden,Bio-Dome,"€3356335,86"
397,Norway,Road North (Tie pohjoiseen),"€7965370,30"
398,Vietnam,Woodstock Diary,"€8092522,54"
399,Russia,"Double Hour, The (La doppia ora)","€3955728,42"
400,Portugal,Me Without You,"€6029026,50"
401,Portugal,7 Seconds,"€9363019,64"
402,Honduras,"Battle of the Rails, The (La bataille du rail)","€9552266,07"
403,Indonesia,Never a Dull Moment,"€7677525,31"
404,Pakistan,Helen,"€6161559,46"
405,Lithuania,Geography Club,"€4990798,29"
406,Guatemala,"Four Times, The (Le Quattro Volte)","€9709161,80"
407,Iran,Between Strangers,"€9066606,11"
408,Equatorial Guinea,"Road Warrior, The (Mad Max 2)","€3370873,28"
409,China,Comic-Con Episode IV: A Fan's Hope,"€5367622,94"
410,Indonesia,Promised Land (Ziemia Obiecana),"€8895051,04"
411,China,Will Ferrell: You're Welcome America - A Final Night with George W Bush,"€6444602,13"
412,Tanzania,I Dream Too Much,"€2706031,28"
413,Indonesia,Gentlemen Prefer Blondes,"€2534493,75"
414,France,Repatriation,"€7644366,52"
415,Philippines,Sweet Bunch (Glykia symmoria),"€8181239,22"
416,Canada,"Brief History of Time, A","€9260618,22"
417,Bosnia and Herzegovina,Buffalo Soldiers,"€3353337,02"
418,Philippines,Bombay Talkie,"€4563520,22"
419,Brazil,Ocho apellidos vascos,"€4682949,08"
420,Canada,When the Bough Breaks,"€9433440,96"
421,Norway,Marvellous,"€6808685,76"
422,France,Lars and the Real Girl,"€4334092,57"
423,Canada,Bad Company,"€7247817,80"
424,Argentina,Dr. Gillespie's New Assistant,"€7499842,45"
425,Peru,On Moonlight Bay,"€2455703,83"
426,Indonesia,Over My Dead Body,"€7853793,39"
427,China,Baby Geniuses,"€7755320,41"
428,China,My Crazy Life (Mi vida loca),"€2476025,90"
429,Indonesia,"Grey Zone, The","€7028352,41"
430,Belarus,Children of the Corn V: Fields of Terror,"€9104835,31"
431,Greece,Dead & Buried,"€5792389,18"
432,Ukraine,"World Unseen, The","€1989091,76"
433,Ukraine,Inherent Vice,"€4954790,30"
434,Brazil,Beethoven's 2nd,"€2017038,82"
435,Poland,"Wake Up, Ron Burgundy","€7067666,37"
436,China,Trio,"€4107478,81"
437,Argentina,With Love... from the Age of Reason,"€6200031,45"
438,Russia,Hitler's Children,"€5614640,04"
439,Paraguay,"Brony Tale, A","€1273403,47"
440,Indonesia,"Book of Stars, The","€4716369,31"
441,Russia,"Unholy Rollers, The","€3285446,45"
442,China,Penthouse,"€3637528,07"
443,China,Never Give a Sucker an Even Break,"€6570579,54"
444,Indonesia,Episode 3: Enjoy Poverty,"€7865833,36"
445,Syria,Three Strangers,"€5162006,14"
446,Nigeria,"Fly, The (Légy, A)","€5170998,60"
447,Russia,Brooklyn Rules,"€1058770,30"
448,Senegal,Ingeborg Holm,"€1773025,13"
449,Indonesia,I Wish (Kiseki),"€3747418,15"
450,Ukraine,Tokio Baby,"€9588658,74"
451,China,Divine Madness!,"€4029179,51"
452,Philippines,"See You Tomorrow, Everyone","€3539543,19"
453,China,Ladies of Leisure,"€9052039,33"
454,China,At Close Range,"€2632230,02"
455,China,True Crime,"€4770034,19"
456,Russia,Closure,"€4598094,08"
457,France,Snow Queen,"€3293269,70"
458,China,"Small Town, The (a.k.a. The Town) (Kasaba)","€4613081,43"
459,China,Argentina latente,"€5966395,56"
460,Malaysia,On the Town,"€7814343,82"
461,Nicaragua,Marvin Gaye: What's Going On,"€4203815,89"
462,United States,Royal Flash,"€7558617,24"
463,Sweden,Jason Goes to Hell: The Final Friday,"€2719257,83"
464,China,Home for the Holidays,"€8053185,72"
465,China,Love Is a Many-Splendored Thing,"€1304065,65"
466,China,"Mourning Forest, The (Mogari no mori)","€2644420,44"
467,Greece,Contact,"€7553426,61"
468,Egypt,And the Pursuit of Happiness (La poursuite du bonheur),"€6242505,37"
469,United States,"Proprietor, The","€6864222,78"
470,China,In Darkness,"€2614414,45"
471,Portugal,Walkabout,"€1991721,14"
472,Indonesia,Terminal USA,"€6630195,60"
473,China,Daddy's Dyin'... Who's Got the Will?,"€9655599,71"
474,Sweden,"Rumble in Hong Kong (Nu jing cha) (Heroine, The)","€1935526,93"
475,China,Just Ask My Children,"€9596342,43"
476,Venezuela,"Sheriff and the Satellite Kid, The","€3971518,92"
477,Yemen,Our Man in Havana,"€1298003,09"
478,Indonesia,Lovely Molly,"€7796142,80"
479,China,Hood of Horror,"€1946784,14"
480,Indonesia,"Big Broadcast of 1938, The","€7057764,02"
481,Thailand,"Duck, You Sucker (a.k.a. Fistful of Dynamite, A) (Giù la testa)","€3606439,83"
482,Indonesia,"Great Santini, The","€8030574,53"
483,Madagascar,Pot O' Gold,"€4060474,29"
484,Finland,Holy Motors,"€7764210,49"
485,Greece,Manny,"€9966828,05"
486,Russia,"Left-Hand Side of the Fridge, The (Moitié gauche du frigo, La)","€9180173,08"
487,Zimbabwe,Libel,"€3567557,12"
488,Yemen,McLintock!,"€1231197,04"
489,China,"Hard Way, The","€1488164,54"
490,Indonesia,My Best Fiend (Mein liebster Feind),"€5436595,18"
491,Malaysia,Bonnie Scotland (Heroes of the Regiment),"€6160656,84"
492,China,Beowulf,"€4756479,94"
493,Philippines,Cousin cousine,"€4043462,20"
494,Egypt,Iron Sky,"€9925436,26"
495,Afghanistan,Fun with Dick and Jane,"€7724801,13"
496,Tajikistan,American Son,"€5433602,05"
497,Poland,11:14,"€1665957,61"
498,Brazil,Madadayo (a.k.a. Not Yet),"€1220734,09"
499,Peru,Girl Walk: All Day,"€3257700,18"
500,China,Hot Rods to Hell,"€9296292,10"
